id,period,source_code,source_name,source_region,source_income,source_lending,source_G8G20,destination_code,destination_name,destination_region,destination_income,destination_lending,destination_G8G20,firm,firm_type,payment instrument,access point,speed actual,cc1 lcu amount,cc1 denomination amount,cc1 lcu code,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,cc2 lcu amount,cc2 denomination amount,cc2 lcu code,cc2 lcu fee,cc2 lcu fx rate,cc2 fx margin,cc2 total cost %,inter lcu bank fx,transparent,Standard Note,note2,receiving network coverage,pickup location,pickup method,date,corridor
620160691,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,MoneyGram,Money Transfer Operator,Debit/credit card,Internet,3-5 days,200,200,USD,8,1,0,4,500,500,USD,8,1,0,2,1,yes,Bank account payment,,High,Agent,Cash,11/May/2016,CRINIC
620160694,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,MoneyGram,Money Transfer Operator,Debit/credit card,Internet,Less than one hour,200,200,USD,15,1,0,8,500,500,USD,42,1,0,8,1,yes,,,High,Agent,Cash,11/May/2016,CRINIC
620160737,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,BAC San Jose,Bank,Bank account transfer,Internet,Next day,200,200,USD,5,1,0,3,500,500,USD,5,1,0,1,1,yes,,"In this corridor all RSPs send and pay out in USD.  At the point of collection, the money may be converted to the local currency  or paid out in USD. Remittance recipients may incur an additional cost (not shown here) if and when converting the USD to the local currency.",Low,,Bank account (same/partner bank),11/May/2016,CRINIC
620160738,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,BAC San Jose,Bank,"Bank account transfer,Cash",Bank branch,Next day,200,200,USD,10,1,0,5,500,500,USD,10,1,0,2,1,yes,,"In this corridor all RSPs send and pay out in USD.  At the point of collection, the money may be converted to the local currency  or paid out in USD. Remittance recipients may incur an additional cost (not shown here) if and when converting the USD to the local currency.",High,,Cash,11/May/2016,CRINIC
620160739,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,Citibank,Bank,"Bank account transfer,Cash",Bank branch,Next day,200,200,USD,3,1,0,2,500,500,USD,3,1,0,1,1,yes,,"In this corridor all RSPs send and pay out in USD.  At the point of collection, the money may be converted to the local currency  or paid out in USD. Remittance recipients may incur an additional cost (not shown here) if and when converting the USD to the local currency.",High,,Bank account,11/May/2016,CRINIC
620160740,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,Citibank,Bank,Bank account transfer,Internet,Same day,200,200,USD,3,1,0,2,500,500,USD,3,1,0,1,1,yes,,"In this corridor all RSPs send and pay out in USD.  At the point of collection, the money may be converted to the local currency  or paid out in USD. Remittance recipients may incur an additional cost (not shown here) if and when converting the USD to the local currency.",Low,,Bank account,11/May/2016,CRINIC
620160741,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,Giros Hispanas,Money Transfer Operator,Cash,Agent,Next day,200,200,USD,5,1,0,2,500,500,USD,11,1,0,2,1,yes,,"In this corridor all RSPs send and pay out in USD.  At the point of collection, the money may be converted to the local currency  or paid out in USD. Remittance recipients may incur an additional cost (not shown here) if and when converting the USD to the local currency.",High,Home delivery,Cash,11/May/2016,CRINIC
620160742,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,Giros Hispanas,Money Transfer Operator,Cash,Agent,Less than one hour,200,200,USD,5,1,0,2,500,500,USD,11,1,0,2,1,yes,,"In this corridor all RSPs send and pay out in USD.  At the point of collection, the money may be converted to the local currency  or paid out in USD. Remittance recipients may incur an additional cost (not shown here) if and when converting the USD to the local currency.",High,Agent,Cash,11/May/2016,CRINIC
620160743,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,MoneyGram,Money Transfer Operator,Cash,Agent,Less than one hour,200,200,USD,6,1,0,3,500,500,USD,13,1,0,3,1,yes,,"In this corridor all RSPs send and pay out in USD.  At the point of collection, the money may be converted to the local currency  or paid out in USD. Remittance recipients may incur an additional cost (not shown here) if and when converting the USD to the local currency.",High,Agent,Cash,11/May/2016,CRINIC
620160746,2016_2Q,CRI,Costa Rica,Latin America & Caribbean,Upper middle income,IBRD,..,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..,Teledolar,Money Transfer Operator,"Bank account transfer,Cash",Agent,Less than one hour,200,200,USD,6,1,0,3,500,500,USD,12,1,0,2,1,yes,,"In this corridor all RSPs send and pay out in USD.  At the point of collection, the money may be converted to the local currency  or paid out in USD. Remittance recipients may incur an additional cost (not shown here) if and when converting the USD to the local currency.",High,,Bank account,11/May/2016,CRINIC
